"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.12.2000","4,17","4,15","4,21","4,12","18,85M","1,21%"
"26.12.2000","4,12","4,15","4,20","4,12","10,77M","-0,72%"
"22.12.2000","4,15","4,12","4,23","4,11","27,85M","0,73%"
"21.12.2000","4,12","4,24","4,24","4,11","43,42M","-1,67%"
"20.12.2000","4,19","4,28","4,28","4,18","36,29M","-1,87%"
"19.12.2000","4,27","4,29","4,34","4,26","36,30M","-0,93%"
"18.12.2000","4,31","4,41","4,42","4,27","68,61M","-1,15%"
"15.12.2000","4,36","4,36","4,40","4,29","29,64M","-0,46%"
"14.12.2000","4,38","4,33","4,43","4,29","57,03M","0,92%"
"13.12.2000","4,34","4,19","4,36","4,15","55,54M","5,08%"
"12.12.2000","4,13","4,15","4,22","4,12","43,83M","-0,48%"
"11.12.2000","4,15","4,29","4,29","4,11","47,90M","-0,48%"
"08.12.2000","4,17","4,22","4,29","4,16","59,89M","0,00%"
"07.12.2000","4,17","4,15","4,21","4,06","77,92M","1,46%"
"06.12.2000","4,11","4,41","4,43","4,11","70,02M","-6,80%"
"05.12.2000","4,41","4,47","4,49","4,40","23,59M","1,38%"
"04.12.2000","4,35","4,34","4,38","4,30","13,15M","0,00%"
"01.12.2000","4,35","4,37","4,44","4,34","21,30M","-0,68%"
"30.11.2000","4,38","4,45","4,47","4,35","36,22M","-1,79%"
"29.11.2000","4,46","4,48","4,55","4,46","37,52M","-0,22%"
"28.11.2000","4,47","4,46","4,55","4,46","41,21M","-0,67%"
"27.11.2000","4,50","4,69","4,70","4,48","40,83M","-3,43%"
"24.11.2000","4,66","4,75","4,75","4,61","26,04M","-1,06%"
"23.11.2000","4,71","4,80","4,81","4,65","41,82M","-2,08%"
"22.11.2000","4,81","4,84","4,88","4,81","46,90M","-0,21%"
"21.11.2000","4,82","4,77","4,85","4,76","29,55M","1,26%"
"20.11.2000","4,76","4,71","4,79","4,70","18,24M","-0,63%"
"17.11.2000","4,79","4,84","4,85","4,75","24,78M","0,21%"
"16.11.2000","4,78","4,73","4,80","4,70","23,62M","1,49%"
"14.11.2000","4,71","4,74","4,80","4,71","27,31M","0,43%"
"13.11.2000","4,69","4,61","4,69","4,57","30,35M","1,08%"
"10.11.2000","4,64","4,66","4,70","4,55","33,56M","0,65%"
"09.11.2000","4,61","4,74","4,77","4,58","52,72M","-2,54%"
"08.11.2000","4,73","4,83","4,88","4,73","34,92M","-1,87%"
"07.11.2000","4,82","4,71","4,82","4,61","33,48M","2,12%"
"06.11.2000","4,72","4,62","4,72","4,60","26,39M","2,16%"
"03.11.2000","4,62","4,71","4,75","4,58","31,49M","-2,12%"
"01.11.2000","4,72","4,65","4,73","4,59","31,10M","1,07%"
"31.10.2000","4,67","4,70","4,75","4,65","44,45M","-0,21%"
"30.10.2000","4,68","4,53","4,71","4,48","25,95M","2,86%"
"27.10.2000","4,55","4,52","4,59","4,44","45,56M","0,89%"
